"Part No","Revision","Operation No","Operation Code","Component Part No","Component Revision","Quantity","Component Type","Note","Validate","Auto Deplete","Transfer Heat","Unit Conversion","Min Quantity","Max Quantity","Fix Quantity"
"086-00154-04R","000","900","EBOM","632-00001-00","A","1","Part","HS1,","","","","","","",""
"086-00154-04R","000","900","EBOM","641-00003-01","C","1","Part","R39,","","","","","","",""
"086-00154-04R","000","900","EBOM","651-00008-00","E","2","Part"," F10, F11,","","","","","","",""
"086-00154-04R","000","900","EBOM","653-00110-00","C","1","Part"," U14,","","","","","","",""
"086-00154-04R","000","900","EBOM","653-00117-00","A","3","Part"," U4, U6, U7,","","","","","","",""
"086-00154-04R","000","900","EBOM","653-00526-00","A","1","Part","U15, ","","","","","","",""
"086-00154-04R","000","900","EBOM","653-00530-00","A","1","Part","U11,","","","","","","",""
"086-00154-04R","000","900","EBOM","653-00532-06","B","1","Part","U5, ","","","","","","",""
"086-00154-04R","000","900","EBOM","653-00552-00","B","3","Part"," U2, U12, U13,","","","","","","",""
"086-00154-04R","000","900","EBOM","653-00553-00","B","2","Part","U16, U19,","","","","","","",""
"086-00154-04R","000","900","EBOM","653-00560-00","B","1","Part","U17, ","","","","","","",""
"086-00154-04R","000","900","EBOM","653-00574-00","C","2","Part","U1, U3, ","","","","","","",""
"086-00154-04R","000","900","EBOM","653-00586-00","AR","1","Part","U18,","","","","","","",""
"086-00154-04R","000","900","EBOM","653-00611-00","AR","2","Part","U9, U10, ","","","","","","",""
"086-00154-04R","000","900","EBOM","654-00007-00","A","1","Part"," X2,  ","","","","","","",""
"086-00154-04R","000","900","EBOM","654-00010-00","B","1","Part","X1,","","","","","","",""
"086-00154-04R","000","900","EBOM","659-00004-00","C","1","Part"," L29, ","","","","","","",""
"086-00154-04R","000","900","EBOM","663-00003-00","A","1","Part"," L1,","","","","","","",""
"086-00154-04R","000","900","EBOM","602-10030-03","C","2","Part","C81, C94,","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04065-00","B","2","Part","R100, R128,","","","","","","",""
"086-00154-04R","000","900","EBOM","601-04113-00","B","3","Part","R42,R43,R101","","","","","","",""
