 Invensys Top Part Report for 009-00722.pcb on 11/1/2012 10:23:37 AM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Top',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
C54,1340,3430,90,Top,602-00022-03,CS0805,No,Yes,CAP SMD0805 CER .001uF 100V 10% X7R
C55,6180,1400,90,Top,602-00020-03,CS0805,No,Yes,CAP SMD0805 CER .01uF 50V 10% X7R
C56,7060,1505,90,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C57,6560,1540,90,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C59,7975,2350,0,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C60,895,3225,270,Top,602-00022-03,CS0805,No,Yes,CAP SMD0805 CER .001uF 100V 10% X7R
C61,8735,2435,0,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C62,9040,2665,90,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C63,7420,2825,90,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C64,7300,1420,180,Top,602-30047-00,CSE8X10,No,Yes,CAP SMD8X10 AE 100uF 50V 20% 105C LOW Z
C65,6800,1420,180,Top,602-30047-00,CSE8X10,No,Yes,CAP SMD8X10 AE 100uF 50V 20% 105C LOW Z
C67,9040,3025,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C68,12440,3360,180,Top,602-00077-10,CSE8X6.2,No,Yes,CAP SMD8X6.2 ALU ELEC 22uF 50V 20% 105C
C69,13220,4740,90,Top,002-00489-65,C-BOX591(386X685X720),No,No,CAP MPP .22uF 275V 10% 85C
C70,11040,580,270,Top,002-00587-65,CRE5(10X25),No,No,CAP 1000uF 25V 20% AL
C71,8260,2940,90,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C72,9040,2480,90,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C73,10000,1940,90,Top,002-00498-66,CRE200(414X690),No,No,CAP RAD A/E 1000uF 16V 20%
C74,10450,580,270,Top,002-00587-65,CRE5(10X25),No,No,CAP 1000uF 25V 20% AL
C75,9950,580,270,Top,002-00587-65,CRE5(10X25),No,No,CAP 1000uF 25V 20% AL
C76,11680,1900,0,Top,002-00525-65,C10MM(11X8),No,No,CAP DISC 1000pF 250V 20%
C77,9500,2260,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C78,12200,4740,90,Top,002-00489-65,C-BOX591(386X685X720),No,No,CAP MPP .22uF 275V 10% 85C
C79,1610,1260,270,Top,602-00025-03,CS0805,No,Yes,CAP SMD0805 CER .1uF 50V 10% X7R
C80,3120,2780,0,Top,002-00385-00,CHP197,No,No,CAP MPE RB .022uF 630VDC 10% 105C
C81,2430,1230,0,Top,602-10030-03,CS0805,No,Yes,CAP SMD0805 CER 68pF 100V 5% NPO
