 Invensys Top Part Report for 009-00861.pcb on 8/13/2013 10:29:02 AM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Top',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
D8,8520,2890,270,Top,003-00022-00,DA500P,No,No,DIODE 1N4007 RECT
D9,6440,2500,270,Top,003-00001-00,DA500S,No,No,DIODE 1N4148 75V .1A
D10,6560,2500,270,Top,003-00001-00,DA500S,No,No,DIODE 1N4148 75V .1A
D11,6200,2000,90,Top,003-00001-00,DA500S,No,No,DIODE 1N4148 75V .1A
D12,9865,-25,90,Top,003-00022-00,DA440P,No,No,DIODE 1N4007 RECT
D13,10290,2255,270,Top,003-00022-00,DA540P,No,No,DIODE 1N4007 RECT
D14,4160,640,90,Top,603-00016-00,DS2A,No,Yes,DIODE SMD 1N4148 RECT 75V 150MA
D15,4040,640,90,Top,603-00016-00,DS2A,No,Yes,DIODE SMD 1N4148 RECT 75V 150MA
D16,3920,640,90,Top,603-00016-00,DS2A,No,Yes,DIODE SMD 1N4148 RECT 75V 150MA
D17,3800,640,90,Top,603-00016-00,DS2A,No,Yes,DIODE SMD 1N4148 RECT 75V 150MA
D18,9760,1835,90,Top,003-00050-00,DA500S,No,No,DIODE 1N5232 ZNR 1/2W 5% 5.6V
D19,11320,2090,270,Top,003-00022-00,DA500P,No,No,DIODE 1N4007 RECT
D20,8310,545,90,Top,003-00022-00,DA500P,No,No,DIODE 1N4007 RECT
D21,7460,1980,90,Top,003-00022-00,DA500P,No,No,DIODE 1N4007 RECT
D22,6990,485,90,Top,003-00022-00,DA440P,No,No,DIODE 1N4007 RECT
D23,7220,1980,90,Top,003-00022-00,DA500P,No,No,DIODE 1N4007 RECT
D24,10420,2255,270,Top,003-00022-00,DA540P,No,No,DIODE 1N4007 RECT
D25,8900,2890,270,Top,003-00139-00,DA500S,Yes,No,DIODE 1N5248 ZNR 1/2W 5% 18V
D26,9020,2890,270,Top,003-00132-00,DA500S,Yes,No,DIODE 1N5994B ZNR 5.6V
D27,6500,1180,90,Top,003-00001-00,DA440S,No,No,DIODE 1N4148 75V .1A
