 Robertshaw Bottom Part Report for 009-00870.pcb on 6/29/2015 2:49:47 PM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Bottom',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
C253,2045,4405,90,Bottom,602-00264-13,CS0603,Yes,Yes,CAP .033UF 10% 50V X7R 0603
C254,2085,3450,90,Bottom,602-00121-03,CS0805,Yes,Yes,CAP 100PF 200V 10% C0G 0805
C255,2155,505,90,Bottom,602-00020-03,CS0805,Yes,Yes,CAP SMD0805 CER .01uF 50V 10% X7R
C256,2115,5125,90,Bottom,602-00264-13,CS0603,Yes,Yes,CAP .033UF 10% 50V X7R 0603
C257,2150,4895,90,Bottom,602-05012-D272K,CS0603,Yes,Yes,CAP 2.7NF 10% 50V X7R 0603
C258,2155,4485,90,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C259,2205,4895,90,Bottom,602-00264-13,CS0603,Yes,Yes,CAP .033UF 10% 50V X7R 0603
C260,2225,4485,270,Bottom,602-00264-13,CS0603,Yes,Yes,CAP .033UF 10% 50V X7R 0603
C261,2375,505,90,Bottom,602-00020-03,CS0805,Yes,Yes,CAP SMD0805 CER .01uF 50V 10% X7R
C262,2480,5345,270,Bottom,602-00020-03,CS0805,Yes,Yes,CAP SMD0805 CER .01uF 50V 10% X7R
C263,2500,3450,90,Bottom,602-00121-03,CS0805,Yes,Yes,CAP 100PF 200V 10% C0G 0805
C264,2745,5560,90,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C265,2715,5140,270,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C266,2710,1955,90,Bottom,602-00025-03,CS0805,Yes,Yes,CAP SMD0805 CER .1UF 50V 10% X7R
C267,2665,3400,90,Bottom,602-10049-03,CS0805,Yes,Yes,CAP SMD0805 CER 470PF 100V 5%
C268,2965,5350,90,Bottom,602-20037-02,CS0603,Yes,Yes,CAP SMD0603 CER .1UF 25V 10% XR7
C269,3040,1905,90,Bottom,602-00158-03,CS0805,Yes,Yes,CAP 1UF 50V 10% X7R 0805
D200,330,5455,270,Bottom,603-00017-00,DS2(BOT),Yes,Yes,DIODE SMD 1N4007 RECT 1KV 1A
D201,330,5045,90,Bottom,603-00017-00,DS2(BOT),Yes,Yes,DIODE SMD 1N4007 RECT 1KV 1A
D202,330,4510,90,Bottom,603-00017-00,DS2(BOT),Yes,Yes,DIODE SMD 1N4007 RECT 1KV 1A
