 Invensys Top Part Report for 009-00723-01c.pcb on 5/8/2009 2:30:50 PM,,,,,,,,,
,,,,,,,,,
Requested Condition:,,,,,,,,,
Layer Name contains 'Top',,,,,,,,,
,,,,,,,,,
Name,Position X,Position Y,Rotation,Layer Name,Part Type,PCB Decal,Glued,SMD,Description
L5,3955,2160,0,Top,663-00004-00,LS0805,No,Yes,BEAD FERRITE SMD0805 STEWARD HZ0805D102R-00
L6,3245,2260,180,Top,663-00004-00,LS0805,No,Yes,BEAD FERRITE SMD0805 STEWARD HZ0805D102R-00
L7,3245,2160,180,Top,663-00004-00,LS0805,No,Yes,BEAD FERRITE SMD0805 STEWARD HZ0805D102R-00
L8,2860,2550,270,Top,663-00004-00,LS0805,No,Yes,BEAD FERRITE SMD0805 STEWARD HZ0805D102R-00
L9,2595,2330,90,Top,663-00004-00,LS0805,No,Yes,BEAD FERRITE SMD0805 STEWARD HZ0805D102R-00
L12,6475,2300,270,Top,663-00003-00,LS0805,No,Yes,INDUCTOR BEAD SMD0805 FERRITE 300 OHM 25%
P1,7000,2440,0,Top,655-00023-00,P10-71308-6210,No,Yes,"HEADER 0.100"" 2X5 SQ"
P2,4915,2340,180,Top,055-00024-06,P08HV100,No,No,"CONN 8P .100"" SPACING HEADER"
P3,8980,2380,180,Top,055-00563-00,P05HSR100-M70553,No,No,"HEADER 0.100"" 5P SQ AU SHROUD"
P4,7100,2920,0,Top,655-00021-00,P06-71308-6206,No,Yes,CONN 6P(2X3) .100 MOLEX 10-89-7061
R2,8360,2200,180,Top,601-04049-00,RS0805,No,Yes,RES SMD0805 1/8W 100 5%
R3,4315,2620,90,Top,601-04081-00,RS0805,No,Yes,RES SMD0805 1/8W 2.2K 5%
R4,4415,2620,90,Top,601-04081-00,RS0805,No,Yes,RES SMD0805 1/8W 2.2K 5%
R5,4515,2620,90,Top,601-04081-00,RS0805,No,Yes,RES SMD0805 1/8W 2.2K 5%
R6,4615,2620,90,Top,601-04081-00,RS0805,No,Yes,RES SMD0805 1/8W 2.2K 5%
R7,4715,2620,90,Top,601-04081-00,RS0805,No,Yes,RES SMD0805 1/8W 2.2K 5%
R8,4215,2620,90,Top,601-04049-00,RS0805,No,Yes,RES SMD0805 1/8W 100 5%
R9,4815,2620,270,Top,601-04081-00,RS0805,No,Yes,RES SMD0805 1/8W 2.2K 5%
R10,4215,2900,270,Top,601-04081-00,RS0805,No,Yes,RES SMD0805 1/8W 2.2K 5%
R11,4615,2900,270,Top,601-04081-00,RS0805,No,Yes,RES SMD0805 1/8W 2.2K 5%
R12,2955,2335,90,Top,601-04073-00,RS0805,No,Yes,RES SMD0805 1/8W 1K 5%
R13,4715,2900,270,Top,601-04081-00,RS0805,No,Yes,RES SMD0805 1/8W 2.2K 5%
R14,2855,2820,90,Top,601-04137-00,RS0805,No,Yes,RES SMD0805 1/8W 470K 5%
R15,3760,2260,0,Top,601-04073-00,RS0805,No,Yes,RES SMD0805 1/8W 1K 5%
R16,4515,2900,270,Top,601-04081-00,RS0805,No,Yes,RES SMD0805 1/8W 2.2K 5%
R17,3760,2160,0,Top,601-04073-00,RS0805,No,Yes,RES SMD0805 1/8W 1K 5%
R18,4415,2900,270,Top,601-04081-00,RS0805,No,Yes,RES SMD0805 1/8W 2.2K 5%
R19,3445,2260,180,Top,601-04073-00,RS0805,No,Yes,RES SMD0805 1/8W 1K 5%
R20,3445,2160,180,Top,601-04073-00,RS0805,No,Yes,RES SMD0805 1/8W 1K 5%
R21,4315,2900,270,Top,601-04081-00,RS0805,No,Yes,RES SMD0805 1/8W 2.2K 5%
R22,4915,2620,270,Top,601-04081-00,RS0805,No,Yes,RES SMD0805 1/8W 2.2K 5%
R23,3955,2620,90,Top,601-04097-00,RS0805,No,Yes,RES SMD0805 1/8W 10K 5%
